"courseCode";"collegeId";"courseName";"studentCount";"type"
"AAP-0007";2;"Art Appreciation";0;"minor"
"ARD-111";6;"Design 1: Architectural Design I ";0;"major"
"ARG-113";6;"Graphics 1: Architectural Drafting";0;"major"
"ARH-115";6;"History 1: History of Architecture I";0;"major"
"ART 112 ";6;"Theory 1: Theory of Architecture I";0;"major"
"ARV-114";6;"Monochramatic Drawing";0;"major"
"CHEM-119";8;"Biochemistry (Lec)";0;"major"
"CHEM-119.1";8;"Biochemistry (Lab)";0;"major"
"CSC-0102";1;"Discrete Structures 1";1;"major"
"CSC-0211";1;"Discrete Structures 2";1;"major"
"CSC-0212";1;"Object Oriented Programming";1;"major"
"CSC-0213";1;"Logic Design and Digital Computer Circuits";1;"major"
"CSC-0223";1;"Human Computer Interaction";0;"major"
"CWTS-1";10;"CWTS";0;"nstp"
"ETH-0008";2;"Ethics";0;"minor"
"ICC-0101";1;"Introduction to Computing (Lec)";0;"major"
"ICC-0101.1";1;"Introduction to Computing (Lab)";0;"major"
"ICC-0102";1;"Fundamentals of Programming (Lec)";0;"major"
"ICC-0102.1";1;"Fundamentals of Programming (Lab)";0;"major"
"ICC-0103";1;"Intermediate Programming (Lec)";0;"major"
"ICC-0103.1";1;"Intermediate Programming (Lab)";0;"major"
"ICC-0104";1;"Data Structures and Algorithms (Lec)";0;"major"
"ICC-0104.1";1;"Data Structures and Algorithms (Lab)";0;"major"
"ICC-0105";1;"Information Management";1;"major"
"IPP 0010";2;"Interdisiplinaryong Pagbasa at Pagsulat Tungo sa Mabisang Pagpapahayag";0;"minor"
"ITE 0001";1;"Living in the IT Era";0;"minor"
"ITM-0001";5;"Risk Management as Applied to Safety, Security and Sanitation";0;"major"
"ITM-0002";5;"Philippine Tourism, Geography and Culture";0;"major"
"ITM-0003";5;"Quality Service Management in Tourism and Hospitality";0;"major"
"ITM-0004";5;"Tour Guiding";0;"major"
"ITM-1101";5;"Macro Perspective of Tourism and Hospitality";0;"major"
"ITM-1103";5;"Tourism and Hospitality Marketing";0;"major"
"ITM-1204";5;"Micro Perspective of Tourism and Hospitality";0;"major"
"ITM-2101";5;"Foreign Language I";0;"major"
"ITM-2103";5;"Global Tourism Geography and Culture";0;"major"
"ITM-2105";5;"Sustainable Tourism";0;"major"
"LWR-0009";2;"Life and Works of Rizal";0;"minor"
"MMW-0001";8;"Mathematics in the Modern World";0;"minor"
"MTH-104";6;"Solid Mensuration";0;"major"
"NRS-1101";4;"Theoretical Foundations in Nursing";0;"major"
"NRS-1102";4;"Anatomy and Physiology (Lec)";0;"major"
"NRS-1102.1";4;"Anatomy and Physiology (Lab)";0;"major"
"NRS-1203";4;"Health Assessment";0;"major"
"NRS-1204";4;"Basic Concepts in Nursing";0;"major"
"NRS-1205";4;"Microbiology and Parasitology (Lec)";0;"major"
"NRS-1205.1";4;"Microbiology and Parasitology (Lab)";0;"major"
"NRS-1206";4;"Values and Professional Ethics";0;"major"
"PCM-0006";2;"Purposive Communication";0;"minor"
"PED-0043";9;"Badminton";0;"ped"
"PPC-122";2;"Philippine Popular Culture";0;"minor"
"ROTC-1";10;"ROTC";0;"nstp"
"RPH 0004";2;"Readings in Philippine History";0;"minor"
"STS-0002";8;"Science, Technology and Society";0;"minor"
"TCW-0005";2;"The Contemporary World";0;"minor"
"UTS-0003";2;"Understanding the Self";0;"minor"
